query,2022/12/04,2022/12/11,2022/12/18,2022/12/25,2023/01/01,2023/01/08,2023/01/15,2023/01/22,2023/01/29,2023/02/05,2023/02/12,2023/02/19,2023/02/26,2023/03/05,2023/03/12,2023/03/19,2023/03/26,2023/04/02,2023/04/09,2023/04/16,2023/04/23,2023/04/30,2023/05/07,2023/05/14,2023/05/21,2023/05/28,2023/06/04,2023/06/11,2023/06/18,2023/06/25,2023/07/02,2023/07/09,2023/07/16,2023/07/23,2023/07/30,2023/08/06,2023/08/13,2023/08/20,2023/08/27,2023/09/03,2023/09/10,2023/09/17,2023/09/24,2023/10/01,2023/10/08,2023/10/15,2023/10/22,2023/10/29,2023/11/05,2023/11/12,2023/11/19
'cause you have to lirik,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,10,6,7,14,18,25,27,16
alone again lirik,0,0,0,7,5,0,10,5,9,7,8,0,4,8,9,0,0,0,3,8,16,0,3,4,10,0,0,3,4,0,7,0,0,4,4,0,0,8,4,0,6,3,7,0,0,0,3,8,9,5,6
kala sang surya tenggelam lirik,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,6,0,0,6,5,0,7,0,0,3,3,0,8,28,25
lampu merah lirik,6,5,0,0,0,0,12,0,6,6,0,9,5,6,4,8,6,0,6,0,0,6,6,4,3,3,0,3,4,11,3,6,12,4,6,5,0,0,4,7,0,0,9,0,5,6,9,4,0,12,100
pages lirik,10,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,8,21
if ever you're in my arms again lirik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my love mine all mine lirik,0,7,0,5,7,0,6,0,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,11,4,0,0,0,0,0,0,0,0,0,9,0,0,3,6,7,3,0,10,3,20,44,46,51,60,76,100
nothing's new lirik,3,0,0,12,5,0,4,0,0,0,0,0,4,0,6,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,0,4,3,3,0,0,0
rakit lirik,7,0,7,0,11,7,8,9,8,5,9,6,3,12,6,7,8,11,4,15,7,9,9,7,3,9,9,9,6,9,0,0,5,10,14,8,9,0,0,5,9,5,9,13,8,9,11,10,14,14,36
shining lirik,0,4,7,3,7,4,10,4,7,8,9,0,0,5,0,0,3,4,8,3,3,5,3,0,6,0,2,5,14,5,7,7,4,11,4,0,0,3,0,8,0,0,5,5,0,0,4,6,7,22,12
