name,album,artist,popularity,duration,popularity_category
Lampu Merah,Pilot,The Lantis,60,4.966666666666667,medium
pages,pages,WIMY,68,3.3142833333333335,medium
Alone Again (Naturally),Back to Front (Deluxe Edition),Gilbert O'Sullivan,63,3.68955,medium
"Kala Sang Surya Tenggelam (from the Netflix Series ""Gadis Kretek"")","Kala Sang Surya Tenggelam (from the Netflix Series ""Gadis Kretek"")",Gadis Kretek - Cast,65,3.35,medium
'Cause You Have To,a beautiful blur,LANY,54,4.176583333333333,medium
Nothing's New,Good God!,Rio Romeo,81,3.5166666666666666,high
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,97,2.2962166666666666,high
SHINING,Twinkling Watermelon (Original Television Soundtrack) Pt. 3,김한겸,64,3.5153166666666666,medium
If Ever You're in My Arms Again,Straight From The Heart,Peabo Bryson,66,4.188433333333333,medium
penjaga hati,penjaga hati,Nadhif Basalamah,88,4.3391,high
PARANOIA,PARANOIA,HEARTSTEEL,85,3.313616666666667,high
Rakit,Rakit,Nadzira Shafa,48,4.633333333333334,medium
Terminator (feat. Young Jonn),Terminator (feat. Young Jonn),King Promise,72,3.9004,high
Mengapa,Mengapa,Rony Parulian,70,4.3966666666666665,medium
The Hanging Tree - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hanging Tree (from The Hunger Games: The Ballad of Songbirds & Snakes),Rachel Zegler,70,2.3998,medium
Karena Kamu,Meraih Bintang,Geisha,75,3.9091,high
Take A Chance With Me,Nicole,NIKI,77,5.06555,high
Tapi Tahukah Kamu?,Tapi Tahukah Kamu?,Dygta,77,4.193333333333333,high
Gloria,Gloria,The Lantis,45,5.4,medium
Mencintaimu,Mencintaimu,Sal Priadi,72,4.56735,high
Cheap Cologne,Cheap Cologne,GRAHAM,72,2.1933333333333334,high
Walking Back Home,Walking Back Home,FUR,67,2.2777666666666665,medium
Drama,Drama - The 4th Mini Album,aespa,86,3.582883333333333,high
Miss You,Miss You,BANG YEDAM,61,3.10555,medium
Your Number,Your Number,Ayo Jay,71,3.40135,high
Rasakan Abadi,Rasakan Abadi,Brodin,54,5.867666666666667,medium
Perfect Night,Perfect Night,LE SSERAFIM,90,2.6513333333333335,high
Chill Kill,Chill Kill - The 3rd Album,Red Velvet,74,3.58,high
Yohana Kastaneda Nona Halong,Yohana Kastaneda Nona Halong,Memi,39,4.523333333333333,low
Someday,CASTAWAY DIVA OST SEO MOK HA (PARK EUN BIN) Vol.1,Park Eunbin,63,3.8713333333333333,medium
Patience,Beautiful World,Take That,46,3.367766666666667,medium
Lonely Holiday,Lonely Holiday,Alien Child,56,4.0,medium
Hate You,GOLDEN,Jung Kook,88,2.5706,high
U-Uh...,U-Uh...,TBA,48,3.4633833333333333,medium
Yes or No,GOLDEN,Jung Kook,89,2.4592833333333335,high
Wide Awake,Teenage Dream: The Complete Confection,Katy Perry,72,3.6822166666666667,high
DJ Aku Lagi Bete Beb Aku Lagi Sensi,DJ Tiwas Tak Gondeli,DJ Arya Fvnky,44,4.020133333333333,medium
Wide Awake - Sped Up,Wide Awake (Sped Up),13Aurora,46,3.3641666666666667,medium
Surround Sound (feat. 21 Savage & Baby Tate),The Forever Story (Extended Version),JID,87,3.8323,high
Bodoh,Bodoh,Anggis Devaki,60,4.145,medium
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),Taylor Swift,91,3.00635,high
DJ KU TAK PERNAH MERASA KESEPIAN,DJ KU TAK PERNAH MERASA KESEPIAN,Sarip Rmx,51,4.642816666666667,medium
Rindu Lukisan,Rindu Lukisan,caldera,56,3.4685333333333332,medium
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd,92,4.0780666666666665,high
Dj Teruslah Melangkah Melupakan Dirinya - Karena Kamu,Dj Teruslah Melangkah Melupakan Dirinya - Karena Kamu,Farhan Malik,51,4.2436,medium
AGASSY,AGASSY,SOOJIN,71,2.7571,high
Jagung Rebus,Jagung Rebus,Maya Jasika,45,4.6,medium
The Night We Met,Strange Trails,Lord Huron,82,3.4701833333333334,high
Shot Glass of Tears,GOLDEN,Jung Kook,86,2.7874333333333334,high
Di Tepian Rindu,Di Tepian Rindu,Davisiumbing,33,3.6898166666666667,low
