name,album,artist,popularity,duration
Lampu Merah,Pilot,The Lantis,60,298000
pages,pages,WIMY,68,198857
Alone Again (Naturally),Back to Front (Deluxe Edition),Gilbert O'Sullivan,63,221373
"Kala Sang Surya Tenggelam (from the Netflix Series ""Gadis Kretek"")","Kala Sang Surya Tenggelam (from the Netflix Series ""Gadis Kretek"")",Gadis Kretek - Cast,65,201000
'Cause You Have To,a beautiful blur,LANY,54,250595
Nothing's New,Good God!,Rio Romeo,81,211000
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,97,137773
SHINING,Twinkling Watermelon (Original Television Soundtrack) Pt. 3,김한겸,64,210919
If Ever You're in My Arms Again,Straight From The Heart,Peabo Bryson,66,251306
penjaga hati,penjaga hati,Nadhif Basalamah,88,260346
PARANOIA,PARANOIA,HEARTSTEEL,85,198817
Rakit,Rakit,Nadzira Shafa,48,278000
Terminator (feat. Young Jonn),Terminator (feat. Young Jonn),King Promise,72,234024
Mengapa,Mengapa,Rony Parulian,70,263800
The Hanging Tree - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hanging Tree (from The Hunger Games: The Ballad of Songbirds & Snakes),Rachel Zegler,70,143988
Karena Kamu,Meraih Bintang,Geisha,75,234546
Take A Chance With Me,Nicole,NIKI,77,303933
Tapi Tahukah Kamu?,Tapi Tahukah Kamu?,Dygta,77,251600
Gloria,Gloria,The Lantis,45,324000
Mencintaimu,Mencintaimu,Sal Priadi,72,274041
Cheap Cologne,Cheap Cologne,GRAHAM,72,131600
Walking Back Home,Walking Back Home,FUR,67,136666
Drama,Drama - The 4th Mini Album,aespa,86,214973
Miss You,Miss You,BANG YEDAM,61,186333
Your Number,Your Number,Ayo Jay,71,204081
Rasakan Abadi,Rasakan Abadi,Brodin,54,352060
Perfect Night,Perfect Night,LE SSERAFIM,90,159080
Chill Kill,Chill Kill - The 3rd Album,Red Velvet,74,214800
Yohana Kastaneda Nona Halong,Yohana Kastaneda Nona Halong,Memi,39,271400
Someday,CASTAWAY DIVA OST SEO MOK HA (PARK EUN BIN) Vol.1,Park Eunbin,63,232280
Patience,Beautiful World,Take That,46,202066
Lonely Holiday,Lonely Holiday,Alien Child,56,240000
Hate You,GOLDEN,Jung Kook,88,154236
U-Uh...,U-Uh...,TBA,48,207803
Yes or No,GOLDEN,Jung Kook,89,147557
Wide Awake,Teenage Dream: The Complete Confection,Katy Perry,72,220933
DJ Aku Lagi Bete Beb Aku Lagi Sensi,DJ Tiwas Tak Gondeli,DJ Arya Fvnky,44,241208
Wide Awake - Sped Up,Wide Awake (Sped Up),13Aurora,46,201850
Surround Sound (feat. 21 Savage & Baby Tate),The Forever Story (Extended Version),JID,87,229938
Bodoh,Bodoh,Anggis Devaki,60,248700
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),Taylor Swift,91,180381
DJ KU TAK PERNAH MERASA KESEPIAN,DJ KU TAK PERNAH MERASA KESEPIAN,Sarip Rmx,51,278569
Rindu Lukisan,Rindu Lukisan,caldera,56,208112
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd,92,244684
Dj Teruslah Melangkah Melupakan Dirinya - Karena Kamu,Dj Teruslah Melangkah Melupakan Dirinya - Karena Kamu,Farhan Malik,51,254616
AGASSY,AGASSY,SOOJIN,71,165426
Jagung Rebus,Jagung Rebus,Maya Jasika,45,276000
The Night We Met,Strange Trails,Lord Huron,82,208211
Shot Glass of Tears,GOLDEN,Jung Kook,86,167246
Di Tepian Rindu,Di Tepian Rindu,Davisiumbing,33,221389
