query,"Dec 4 – 10, 2022","Dec 11 – 17, 2022","Dec 18 – 24, 2022","Dec 25 – 31, 2022","Jan 1 – 7, 2023","Jan 8 – 14, 2023","Jan 15 – 21, 2023","Jan 22 – 28, 2023","Jan 29 – Feb 4, 2023","Feb 5 – 11, 2023","Feb 12 – 18, 2023","Feb 19 – 25, 2023","Feb 26 – Mar 4, 2023","Mar 5 – 11, 2023","Mar 12 – 18, 2023","Mar 19 – 25, 2023","Mar 26 – Apr 1, 2023","Apr 2 – 8, 2023","Apr 9 – 15, 2023","Apr 16 – 22, 2023","Apr 23 – 29, 2023","Apr 30 – May 6, 2023","May 7 – 13, 2023","May 14 – 20, 2023","May 21 – 27, 2023","May 28 – Jun 3, 2023","Jun 4 – 10, 2023","Jun 11 – 17, 2023","Jun 18 – 24, 2023","Jun 25 – Jul 1, 2023","Jul 2 – 8, 2023","Jul 9 – 15, 2023","Jul 16 – 22, 2023","Jul 23 – 29, 2023","Jul 30 – Aug 5, 2023","Aug 6 – 12, 2023","Aug 13 – 19, 2023","Aug 20 – 26, 2023","Aug 27 – Sep 2, 2023","Sep 3 – 9, 2023","Sep 10 – 16, 2023","Sep 17 – 23, 2023","Sep 24 – 30, 2023","Oct 1 – 7, 2023","Oct 8 – 14, 2023","Oct 15 – 21, 2023","Oct 22 – 28, 2023","Oct 29 – Nov 4, 2023","Nov 5 – 11, 2023","Nov 12 – 18, 2023","Nov 19 – 25, 2023"
lampu merah lirik,7,8,13,8,0,7,0,0,3,12,0,27,0,3,0,0,0,4,0,5,0,5,0,0,5,0,5,9,0,5,9,13,7,6,3,0,0,5,7,0,0,8,0,5,5,7,12,6,7,6,100
pages lirik,10,0,3,0,0,5,0,3,3,0,3,0,0,0,0,0,6,0,9,0,0,10,0,0,0,11,0,0,3,0,3,0,0,6,0,16,6,0,0,0,0,5,12,0,0,6,5,7,7,0,24
alone again lirik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kala sang surya tenggelam lirik,0,10,0,0,0,0,0,0,0,4,0,5,0,0,3,17,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,5,6,3,0,0,0,0,0,0,0,0,12,31,34
'cause you have to lirik,6,0,6,0,0,0,0,0,0,9,0,0,5,0,0,3,5,0,0,0,0,0,4,0,5,0,0,4,0,0,0,0,0,5,3,0,6,5,0,0,0,3,6,0,0,8,8,22,23,26,22
nothing's new lirik,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
my love mine all mine lirik,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2,4,5,5,6,8,10
shining lirik,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2
if ever you're in my arms again lirik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penjaga hati lirik,3,2,3,3,3,2,2,2,3,3,4,2,2,3,3,2,2,2,3,3,3,3,2,3,4,3,3,3,4,3,3,3,1,2,2,2,2,2,2,3,2,2,3,9,30,64,91,79,95,100,100
paranoia lirik,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,1,0,0,1,0,1,1,2
